(6724, datetime.datetime(2022, 11, 14, 10, 48, 43), 59, '0', '0', 265.0, 328.0, 336.0, 12.0, 2.0, 'ok')
(6725, datetime.datetime(2022, 11, 14, 10, 48, 45), 59, '0', '0', 264.0, 329.0, 338.0, 13.0, 2.0, 'ok')
(6726, datetime.datetime(2022, 11, 14, 10, 48, 47), 59, '0', '0', 265.0, 329.0, 338.0, 14.0, 2.0, 'ok')
(6727, datetime.datetime(2022, 11, 14, 10, 48, 49), 59, '0', '0', 265.0, 330.0, 337.0, 15.0, 2.0, 'ok')
(6728, datetime.datetime(2022, 11, 14, 10, 48, 51), 59, '0', '0', 265.0, 328.0, 336.0, 15.0, 2.0, 'ok')
(6729, datetime.datetime(2022, 11, 14, 10, 48, 53), 59, '0', '0', 264.0, 330.0, 333.0, 16.0, 2.0, 'ok')
(6730, datetime.datetime(2022, 11, 14, 10, 48, 55), 59, '0', '0', 264.0, 328.0, 335.0, 17.0, 2.0, 'ok')
(6731, datetime.datetime(2022, 11, 14, 10, 48, 57), 59, '0', '0', 264.0, 326.0, 337.0, 18.0, 2.0, 'ok')
(6732, datetime.datetime(2022, 11, 14, 10, 48, 59), 59, '0', '0', 266.0, 329.0, 322.0, 18.0, 2.0, 'ok')
(6733, datetime.datetime(2022, 11, 14, 10, 49, 1), 59, '0', '0', 266.0, 328.0, 349.0, 19.0, 2.0, 'ok')
(6734, datetime.datetime(2022, 11, 14, 10, 49, 3), 59, '0', '0', 264.0, 329.0, 336.0, 20.0, 2.0, 'ok')
(6735, datetime.datetime(2022, 11, 14, 10, 49, 5), 59, '0', '0', 265.0, 328.0, 344.0, 21.0, 2.0, 'ok')
(6736, datetime.datetime(2022, 11, 14, 10, 49, 7), 59, '0', '0', 265.0, 329.0, 343.0, 22.0, 2.0, 'ok')
(6737, datetime.datetime(2022, 11, 14, 10, 49, 9), 59, '0', '0', 265.0, 329.0, 343.0, 23.0, 2.0, 'ok')
(6738, datetime.datetime(2022, 11, 14, 10, 49, 11), 59, '0', '0', 266.0, 327.0, 344.0, 24.0, 2.0, 'ok')
(6739, datetime.datetime(2022, 11, 14, 10, 49, 13), 59, '0', '0', 265.0, 330.0, 341.0, 25.0, 2.0, 'ok')
(6740, datetime.datetime(2022, 11, 14, 10, 49, 15), 59, '0', '0', 265.0, 328.0, 340.0, 26.0, 2.0, 'ok')
(6741, datetime.datetime(2022, 11, 14, 10, 49, 17), 59, '0', '0', 265.0, 328.0, 338.0, 26.0, 2.0, 'ok')
(6742, datetime.datetime(2022, 11, 14, 10, 49, 19), 59, '0', '0', 264.0, 330.0, 340.0, 27.0, 2.0, 'ok')
(6743, datetime.datetime(2022, 11, 14, 10, 49, 21), 59, '0', '0', 265.0, 328.0, 341.0, 27.0, 2.0, 'ok')
(6744, datetime.datetime(2022, 11, 14, 10, 49, 23), 59, '0', '0', 265.0, 329.0, 339.0, 28.0, 2.0, 'ok')
(6745, datetime.datetime(2022, 11, 14, 10, 49, 25), 59, '0', '0', 264.0, 328.0, 340.0, 29.0, 2.0, 'ok')
(6746, datetime.datetime(2022, 11, 14, 10, 49, 27), 59, '0', '0', 265.0, 328.0, 339.0, 30.0, 2.0, 'ok')
(6747, datetime.datetime(2022, 11, 14, 10, 49, 29), 59, '0', '0', 265.0, 329.0, 340.0, 31.0, 2.0, 'ok')
(6748, datetime.datetime(2022, 11, 14, 10, 49, 31), 59, '0', '0', 265.0, 328.0, 339.0, 32.0, 2.0, 'ok')
(6749, datetime.datetime(2022, 11, 14, 10, 49, 34), 59, '0', '0', 265.0, 329.0, 338.0, 32.0, 2.0, 'ok')
(6750, datetime.datetime(2022, 11, 14, 10, 49, 36), 59, '0', '0', 265.0, 325.0, 338.0, 32.0, 2.0, 'ok')
(6751, datetime.datetime(2022, 11, 14, 10, 49, 38), 59, '0', '0', 265.0, 328.0, 336.0, 33.0, 2.0, 'ok')
(6752, datetime.datetime(2022, 11, 14, 10, 49, 40), 59, '0', '0', 265.0, 328.0, 337.0, 35.0, 2.0, 'ok')
(6753, datetime.datetime(2022, 11, 14, 10, 49, 42), 59, '0', '0', 265.0, 328.0, 337.0, 35.0, 2.0, 'ok')
(6754, datetime.datetime(2022, 11, 14, 10, 49, 44), 59, '0', '0', 265.0, 329.0, 338.0, 36.0, 2.0, 'ok')
